wl,n,wl,k
,,1.52375,0.00019886
,,1.525,0.000195383
,,1.52625,0.000193114
,,1.5275,0.000190841
,,1.52875,0.000187347
,,1.53,0.000185065
,,1.53125,0.00018278
,,1.5325,0.00018049
,,1.53375,0.000176975
,,1.535,0.000174677
,,1.53625,0.000172374
,,1.5375,0.000170067
,,1.53875,0.000168981
,,1.54,0.000166667
,,1.54125,0.000164349
,,1.5425,0.000162028
,,1.54375,0.000159702
,,1.545,0.000157372
,,1.54625,0.000155039
,,1.5475,0.000152701
,,1.54875,0.000151592
,,1.55,0.000149248
,,1.55125,0.000146899
,,1.5525,0.000145782
,,1.55375,0.000143426
,,1.555,0.000142304
,,1.55625,0.000139942
,,1.5575,0.000138815
,,1.55875,0.000136446
,,1.56,0.000135314
,,1.56125,0.000130452
,,1.5625,0.000129313
,,1.56375,0.000126928
,,1.565,0.000125784
,,1.56625,0.000124638
,,1.5675,0.00012349
,,1.56875,0.00012234
,,1.57,0.000121064
,,1.57125,0.000118159
,,1.5725,0.000117002
,,1.57375,0.000115842
,,1.575,0.000114806
,,1.57625,0.000113894
,,1.5775,0.000112729
,,1.57875,0.000111813
,,1.58,0.00011077
,,1.58125,0.000109851
,,1.5825,0.000108931
,,1.58375,0.000108008
,,1.585,0.000107085
,,1.58625,0.000106285
,,1.5875,0.000105359
